Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
BO-5349;;17B;200;Obersee;Bregenz;1;1;14.12;7.54;5.02;s; 2’993’251.00 ;96.77; 2’896’568.99 
BO-5357;;17B;200;Obersee;Bregenz;1;1;13.33;7.89;5.13;s; 3’284’041.00 ;96.67; 3’174’682.43 
BO-5362;;13A;200;Obersee;Bregenz;1;1;12.69;7.27;4.41;s; 3’733’408.00 ;96.82; 3’614’685.63 
BO-5360;;11B;200;Obersee;Bregenz;1;1;12.94;7.19;4.5;s; 3’771’358.00 ;96.59; 3’642’754.69 
BO-5361;;12B;200;Obersee;Bregenz;1;1;12.8;7.37;5.01;s; 3’987’982.00 ;96.76; 3’858’771.38 
BO-5352;;11B;200;Obersee;Bregenz;1;1;14.33;7.86;4.9;s; 4’177’160.00 ;96.54; 4’032’630.26 
BO-5356;;17A;200;Obersee;Bregenz;1;1;14.23;7.77;4.73;s; 4’222’783.00 ;96.71; 4’083’853.44 
BO-5359;;11A;200;Obersee;Bregenz;1;1;13.76;8.41;5.45;s; 6’691’271.00 ;96.58; 6’462’429.53 
BO-5374;;16B;200;Obersee;Bregenz;2;1;14.06;8.47;6.01;s; 1’088’840.00 ;96.22; 1’047’681.85 
BO-5366;;16A;200;Obersee;Bregenz;2;1;11.82;7.2;4.65;s; 1’197’310.00 ;96.79; 1’158’876.35 
BO-5365;;15B;200;Obersee;Bregenz;2;1;13.62;8.05;5.35;s; 1’369’370.00 ;96.68; 1’323’906.92 
BO-5364;;14B;200;Obersee;Bregenz;2;1;16.25;9.28;5.72;s; 1’485’493.00 ;96.83; 1’438’402.87 
BO-5368;;17B;200;Obersee;Bregenz;2;1;14.54;8.69;6.76;s; 1’758’658.00 ;96.82; 1’702’732.68 
BO-5371;;14B;200;Obersee;Bregenz;2;1;14.33;8.49;5.62;s; 2’121’773.00 ;96.73; 2’052’391.02 
BO-5370;;13B;200;Obersee;Bregenz;2;1;15.03;8.74;6.07;s; 2’129’587.00 ;96.96; 2’064’847.56 
BO-5377;;10B;200;Obersee;Bregenz;2;1;14.1;7.84;5.11;s; 2’649’754.00 ;96.72; 2’562’842.07 
BO-5363;;14A;200;Obersee;Bregenz;2;1;15.69;9.15;7.07;s; 3’271’868.00 ;96.7; 3’163’896.36 
BO-5373;;15B;200;Obersee;Bregenz;2;1;13.78;8;6.72;s; 3’343’361.00 ;96.7; 3’233’030.09 
BO-5375;;17A;200;Obersee;Bregenz;2;1;13.59;8.23;5.95;s; 3’378’703.00 ;96.76; 3’269’233.02 
BO-5372;;15A;200;Obersee;Bregenz;2;1;13.89;8.36;6.6;s; 3’769’405.00 ;96.61; 3’641’622.17 
BO-5376;;17B;200;Obersee;Bregenz;2;1;13.78;7.92;4.86;s; 4’390’916.00 ;96.64; 4’243’381.22 
BO-5367;;16B;200;Obersee;Bregenz;2;1;15.43;8.95;5.93;s; 4’798’143.00 ;96.49; 4’629’728.18 
BO-5379;;10B;196.55;Obersee;Bregenz;2;30;8.94;4.72;2.58;d; 807’969.00 ;97.04; 784’053.12 
BO-5380;;11B;200;Obersee;Bregenz;2;30;11.17;5.98;3.43;d; 1’659’052.00 ;96.76; 1’605’298.72 
BO-5381;;11A;200;Obersee;Bregenz;2;30;14.7;8.5;5.5;d; 2’699’778.00 ;96.84; 2’614’465.02 
BO-5382;;11B;200;Obersee;Bregenz;2;60;8.1;4.77;2.58;d; 2’007’414.00 ;96.86; 1’944’381.20 
BO-5014;;15B;200;Obersee;Fischbach;1;1;12.53;7.41;5.41;s; 860’289.00 ;96.73; 832’157.55 
BO-5008;;16B;200;Obersee;Fischbach;1;1;13.65;8.48;5.73;s; 1’248’439.00 ;96.51; 1’204’868.48 
BO-5006;;15B;200;Obersee;Fischbach;1;1;12.62;7.91;5.46;s; 1’506’769.00 ;96.89; 1’459’908.48 
BO-5015;;16B;204.98;Obersee;Fischbach;1;1;13.52;7.65;5.38;s; 1’593’964.00 ;96.59; 1’539’609.83 
BO-5010;;13A;200;Obersee;Fischbach;1;1;14.8;8.47;5.94;s; 1’826’007.00 ;96.93; 1’769’948.59 
BO-5009;;12B;200;Obersee;Fischbach;1;1;15.03;8.26;5.4;s; 1’854’918.00 ;96.72; 1’794’076.69 
BO-5002;;12B;200;Obersee;Fischbach;1;1;13.32;7.39;5.26;s; 2’652’167.00 ;96.72; 2’565’175.92 
BO-5003;;13B;200;Obersee;Fischbach;1;1;13.35;7.93;4.91;s; 3’020’485.00 ;96.76; 2’922’621.29 
BO-5012;;14B;196.64;Obersee;Fischbach;1;1;13.02;7.58;6.05;s; 3’208’597.00 ;96.69; 3’102’392.44 
BO-5007;;16A;200;Obersee;Fischbach;1;1;13.24;8.13;5.38;s; 3’394’335.00 ;96.68; 3’281’643.08 
BO-5011;;13B;200;Obersee;Fischbach;1;1;12.43;7.87;5.11;s; 3’495’809.00 ;96.85; 3’385’691.02 
BO-5013;;15A;200;Obersee;Fischbach;1;1;13.84;8.47;5.23;s; 4’019’835.00 ;96.73; 3’888’386.40 
BO-5004;;14A;200;Obersee;Fischbach;1;1;14.94;8.89;5.94;s; 4’088’294.00 ;96.58; 3’948’474.35 
BO-5001;;12A;200.45;Obersee;Fischbach;1;1;14.79;8.53;5.01;s; 4’210’625.00 ;96.66; 4’069’990.13 
BO-5106;;12B;200;Obersee;Fischbach;2;1;12.58;6.93;4.45;s; 1’893’785.00 ;97.05; 1’837’918.34 
BO-5111;;17B;200;Obersee;Fischbach;2;1;13.09;7.13;5.11;s; 2’451’639.00 ;96.82; 2’373’676.88 
BO-5114;;11B;200;Obersee;Fischbach;2;1;12.56;6.44;4.77;s; 3’275’792.00 ;96.39; 3’157’535.91 
BO-5115;;12B;200;Obersee;Fischbach;2;1;11.87;6.61;4.58;s; 3’266’835.00 ;96.72; 3’159’682.81 
BO-5109;;14B;200;Obersee;Fischbach;2;1;14.51;7.66;5.83;s; 3’428’875.00 ;96.6; 3’312’293.25 
BO-5107;;13B;200;Obersee;Fischbach;2;1;16.34;8.75;6.19;s; 3’505’033.00 ;96.74; 3’390’768.92 
BO-5110;;15B;200;Obersee;Fischbach;2;1;13.45;7.2;5.04;s; 3’756’610.00 ;96.8; 3’636’398.48 
BO-5116;;13A;200;Obersee;Fischbach;2;1;12.32;7.25;4.66;s; 4’042’718.00 ;96.85; 3’915’372.38 
BO-5112;;10B;200;Obersee;Fischbach;2;1;13.47;7.9;5.75;s; 4’099’100.00 ;96.72; 3’964’649.52 
